month,category,region,sku,product_name,qty,amount,cost,margin
2025-10,Frozen,กรุงเทพ,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,6916,657020,497952,159068
2025-10,Frozen,กรุงเทพ,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,2463,788160,628065,160095
2025-10,Frozen,ภาคกลาง,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2272,215840,163584,52256
2025-10,Frozen,ภาคกลาง,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,637,203840,162435,41405
2025-10,Frozen,ภาคตะวันออก,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2933,278635,211176,67459
2025-10,Frozen,ภาคตะวันออก,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,813,260160,207315,52845
2025-10,Frozen,ภาคเหนือ,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,1867,177365,134424,42941
2025-10,Frozen,ภาคเหนือ,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,489,156480,124695,31785
2025-10,Frozen,ภาคอีสาน,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2244,213180,161568,51612
2025-10,Frozen,ภาคอีสาน,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,656,209920,167280,42640
2025-10,Frozen,ภาคใต้,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2126,201970,153072,48898
2025-10,Frozen,ภาคใต้,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,571,182720,145605,37115
2025-10,Chilled,กรุงเทพ,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,4487,439726,358960,80766
2025-10,Chilled,กรุงเทพ,CH-2033,เนยเค็ม 500 ก.,3568,517360,410320,107040
2025-10,Chilled,ภาคกลาง,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1814,177772,145120,32652
2025-10,Chilled,ภาคกลาง,CH-2033,เนยเค็ม 500 ก.,952,138040,109480,28560
2025-10,Chilled,ภาคตะวันออก,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1782,174636,142560,32076
2025-10,Chilled,ภาคตะวันออก,CH-2033,เนยเค็ม 500 ก.,1164,168780,133860,34920
2025-10,Chilled,ภาคเหนือ,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1047,102606,83760,18846
2025-10,Chilled,ภาคเหนือ,CH-2033,เนยเค็ม 500 ก.,706,102370,81190,21180
2025-10,Chilled,ภาคอีสาน,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1362,133476,108960,24516
2025-10,Chilled,ภาคอีสาน,CH-2033,เนยเค็ม 500 ก.,994,144130,114310,29820
2025-10,Chilled,ภาคใต้,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1247,122206,99760,22446
2025-10,Chilled,ภาคใต้,CH-2033,เนยเค็ม 500 ก.,850,123250,97750,25500
2025-10,Dry,กรุงเทพ,DR-3001,ข้าวหอมมะลิ 15 กก.,570,393300,336300,57000
2025-10,Dry,กรุงเทพ,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,793,570960,507520,63440
2025-10,Dry,ภาคกลาง,DR-3001,ข้าวหอมมะลิ 15 กก.,275,189750,162250,27500
2025-10,Dry,ภาคกลาง,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,239,172080,152960,19120
2025-10,Dry,ภาคตะวันออก,DR-3001,ข้าวหอมมะลิ 15 กก.,268,184920,158120,26800
2025-10,Dry,ภาคตะวันออก,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,232,167040,148480,18560
2025-10,Dry,ภาคเหนือ,DR-3001,ข้าวหอมมะลิ 15 กก.,200,138000,118000,20000
2025-10,Dry,ภาคเหนือ,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,210,151200,134400,16800
2025-10,Dry,ภาคอีสาน,DR-3001,ข้าวหอมมะลิ 15 กก.,164,113160,96760,16400
2025-10,Dry,ภาคอีสาน,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,188,135360,120320,15040
2025-10,Dry,ภาคใต้,DR-3001,ข้าวหอมมะลิ 15 กก.,246,169740,145140,24600
2025-10,Dry,ภาคใต้,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,210,151200,134400,16800
